Date,Current,Previous,Consensus,TE_Forecast
2023/4,51.9,51.2,51.8,51.5
2023/5,50.3,51.9,52.2,52.4
2023/6,53.9,50.3,51.0,50.0
2023/7,52.7,53.9,53.0,52.0
2023/8,54.5,52.7,52.5,52.4
2023/9,53.6,54.5,53.6,53.7
2023/10,51.8,53.6,53.0,53.7
2023/11,52.7,51.8,52.0,51.5
2023/12,50.6,52.7,52.6,52.8
2024/1,53.4,50.5,52.0,51.7
2024/2,52.6,53.4,53.0,52.9
