Date,Current,Previous,Consensus,TE_Forecast
2022/12,3.5%,3.6%,3.7%,3.7%
2023/1,3.4%,3.5%,3.6%,3.6%
2023/2,3.6%,3.4%,3.4%,3.4%
2023/3,3.5%,3.6%,3.6%,3.5%
2023/4,3.4%,3.5%,3.6%,3.6%
2023/5,3.7%,3.4%,3.5%,3.5%
2023/6,3.6%,3.7%,3.6%,3.7%
2023/7,3.5%,3.6%,3.6%,3.6%
2023/8,3.8%,3.5%,3.5%,3.5%
2023/9,3.8%,3.8%,3.7%,3.8%
2023/10,3.9%,3.8%,3.8%,3.8%
2023/11,3.7%,3.9%,3.9%,3.9%
2024/1,3.7%,3.7%,3.8%,3.7%
2024/2,3.9%,3.7%,3.7%,3.7%
2024/3,3.8%,3.9%,3.9%,3.9%
