Date,Current,Previous,Consensus,TE_Forecast,Release_Date
2023/6,0.2%,0.3%,0.2%,0.2%,July 28 2023
2023/7,0.2%,0.2%,0.2%,0.2%,August 31 2023
2023/8,0.1%,0.2%,0.2%,0.2%,September 29 2023
2023/9,0.3%,0.1%,0.3%,0.2%,October 27 2023
2023/10,0.2%,0.3%,0.2%,0.3%,November 30 2023
2023/11,0.1%,0.1%,0.2%,0.2%,December 22 2023
2023/12,0.2%,0.1%,0.2%,0.2%,January 26 2024
2024/1,0.4%,0.1%,0.4%,0.3%,February 29 2024
2024/2,0.3%,0.5%,0.3%,0.3%,March 29 2024
2024/3,0.3%,0.3%,0.3%,0.3%,April 26 2024
