Date,Current,Previous,Consensus,TE_Forecast,Release_Date
2023/6,3%,4%,3.1%,3.2%,July 12 2023
2023/7,3.2%,3%,3.3%,3.1%,August 10 2023
2023/8,3.7%,3.2%,3.6%,3.5%,September 13 2023
2023/9,3.7%,3.7%,3.6%,3.7%,October 12 2023
2023/10,3.2%,3.7%,3.3%,3.3%,November 14 2023
2023/11,3.1%,3.2%,3.1%,3.1%,December 12 2023
2023/12,3.4%,3.1%,3.2%,3.1%,January 11 2024
2024/1,3.1%,3.4%,2.9%,3.1%,February 13 2024
2024/2,3.2%,3.1%,3.1%,3.2%,March 12 2024
2024/3,3.5%,3.2%,3.4%,3.4%,April 10 2024
